LAUS,State_FIPS,County_FIPS,County_Name_State,Year,,Labor_Force,Employed,Unemployed,Unemployment_Rate
CN0100100000000,01,001,"Autauga County, AL",2016,,"25,918     ","24,593     ","1,325     ",5.1     
CN0100300000000,01,003,"Baldwin County, AL",2016,,"90,500     ","85,656     ","4,844     ",5.4     
CN0100500000000,01,005,"Barbour County, AL",2016,,"8,402     ","7,700     ",702     ,8.4     
CN0100700000000,01,007,"Bibb County, AL",2016,,"8,607     ","8,050     ",557     ,6.5     
CN0100900000000,01,009,"Blount County, AL",2016,,"24,576     ","23,248     ","1,328     ",5.4     
CN0101100000000,01,011,"Bullock County, AL",2016,,"4,824     ","4,493     ",331     ,6.9     
CN0101300000000,01,013,"Butler County, AL",2016,,"9,190     ","8,553     ",637     ,6.9     
CN0101500000000,01,015,"Calhoun County, AL",2016,,"45,818     ","42,815     ","3,003     ",6.6     
CN0101700000000,01,017,"Chambers County, AL",2016,,"14,978     ","14,158     ",820     ,5.5     
CN0101900000000,01,019,"Cherokee County, AL",2016,,"11,332     ","10,757     ",575     ,5.1     
CN0102100000000,01,021,"Chilton County, AL",2016,,"19,183     ","18,128     ","1,055     ",5.5     
CN0102300000000,01,023,"Choctaw County, AL",2016,,"4,327     ","3,958     ",369     ,8.5     
CN0102500000000,01,025,"Clarke County, AL",2016,,"7,953     ","7,087     ",866     ,10.9     
CN0102700000000,01,027,"Clay County, AL",2016,,"5,624     ","5,289     ",335     ,6.0     
CN0102900000000,01,029,"Cleburne County, AL",2016,,"5,785     ","5,438     ",347     ,6.0     
CN0103100000000,01,031,"Coffee County, AL",2016,,"20,593     ","19,382     ","1,211     ",5.9     
CN0103300000000,01,033,"Colbert County, AL",2016,,"23,449     ","21,816     ","1,633     ",7.0     
CN0103500000000,01,035,"Conecuh County, AL",2016,,"4,548     ","4,164     ",384     ,8.4     
CN0103700000000,01,037,"Coosa County, AL",2016,,"4,379     ","4,117     ",262     ,6.0     
CN0103900000000,01,039,"Covington County, AL",2016,,"15,490     ","14,441     ","1,049     ",6.8     
CN0104100000000,01,041,"Crenshaw County, AL",2016,,"6,451     ","6,072     ",379     ,5.9     
CN0104300000000,01,043,"Cullman County, AL",2016,,"37,898     ","36,010     ","1,888     ",5.0     
CN0104500000000,01,045,"Dale County, AL",2016,,"19,956     ","18,799     ","1,157     ",5.8     
CN0104700000000,01,047,"Dallas County, AL",2016,,"15,417     ","13,993     ","1,424     ",9.2     
CN0104900000000,01,049,"DeKalb County, AL",2016,,"29,229     ","27,453     ","1,776     ",6.1     
CN0105100000000,01,051,"Elmore County, AL",2016,,"37,221     ","35,446     ","1,775     ",4.8     
CN0105300000000,01,053,"Escambia County, AL",2016,,"14,551     ","13,582     ",969     ,6.7     
CN0105500000000,01,055,"Etowah County, AL",2016,,"43,261     ","40,701     ","2,560     ",5.9     
CN0105700000000,01,057,"Fayette County, AL",2016,,"6,594     ","6,149     ",445     ,6.7     
CN0105900000000,01,059,"Franklin County, AL",2016,,"13,864     ","13,047     ",817     ,5.9     
CN0106100000000,01,061,"Geneva County, AL",2016,,"10,804     ","10,178     ",626     ,5.8     
CN0106300000000,01,063,"Greene County, AL",2016,,"2,871     ","2,585     ",286     ,10.0     
CN0106500000000,01,065,"Hale County, AL",2016,,"5,981     ","5,522     ",459     ,7.7     
CN0106700000000,01,067,"Henry County, AL",2016,,"6,721     ","6,282     ",439     ,6.5     
CN0106900000000,01,069,"Houston County, AL",2016,,"44,543     ","41,959     ","2,584     ",5.8     
CN0107100000000,01,071,"Jackson County, AL",2016,,"23,580     ","22,089     ","1,491     ",6.3     
CN0107300000000,01,073,"Jefferson County, AL",2016,,"311,128     ","293,251     ","17,877     ",5.7     
CN0107500000000,01,075,"Lamar County, AL",2016,,"5,688     ","5,367     ",321     ,5.6     
CN0107700000000,01,077,"Lauderdale County, AL",2016,,"42,522     ","39,811     ","2,711     ",6.4     
CN0107900000000,01,079,"Lawrence County, AL",2016,,"13,717     ","12,768     ",949     ,6.9     
CN0108100000000,01,081,"Lee County, AL",2016,,"72,336     ","68,544     ","3,792     ",5.2     
CN0108300000000,01,083,"Limestone County, AL",2016,,"40,679     ","38,539     ","2,140     ",5.3     
CN0108500000000,01,085,"Lowndes County, AL",2016,,"3,800     ","3,398     ",402     ,10.6     
CN0108700000000,01,087,"Macon County, AL",2016,,"7,866     ","7,266     ",600     ,7.6     
CN0108900000000,01,089,"Madison County, AL",2016,,"173,529     ","164,614     ","8,915     ",5.1     
CN0109100000000,01,091,"Marengo County, AL",2016,,"7,670     ","7,121     ",549     ,7.2     
CN0109300000000,01,093,"Marion County, AL",2016,,"12,494     ","11,665     ",829     ,6.6     
CN0109500000000,01,095,"Marshall County, AL",2016,,"41,572     ","39,350     ","2,222     ",5.3     
CN0109700000000,01,097,"Mobile County, AL",2016,,"187,740     ","175,270     ","12,470     ",6.6     
CN0109900000000,01,099,"Monroe County, AL",2016,,"7,314     ","6,650     ",664     ,9.1     
CN0110100000000,01,101,"Montgomery County, AL",2016,,"105,737     ","99,733     ","6,004     ",5.7     
CN0110300000000,01,103,"Morgan County, AL",2016,,"54,852     ","51,812     ","3,040     ",5.5     
CN0110500000000,01,105,"Perry County, AL",2016,,"3,466     ","3,108     ",358     ,10.3     
CN0110700000000,01,107,"Pickens County, AL",2016,,"7,764     ","7,230     ",534     ,6.9     
CN0110900000000,01,109,"Pike County, AL",2016,,"14,946     ","13,973     ",973     ,6.5     
CN0111100000000,01,111,"Randolph County, AL",2016,,"9,426     ","8,899     ",527     ,5.6     
CN0111300000000,01,113,"Russell County, AL",2016,,"23,524     ","22,217     ","1,307     ",5.6     
CN0111500000000,01,115,"St. Clair County, AL",2016,,"39,073     ","37,043     ","2,030     ",5.2     
CN0111700000000,01,117,"Shelby County, AL",2016,,"109,551     ","104,831     ","4,720     ",4.3     
CN0111900000000,01,119,"Sumter County, AL",2016,,"5,110     ","4,716     ",394     ,7.7     
CN0112100000000,01,121,"Talladega County, AL",2016,,"34,807     ","32,507     ","2,300     ",6.6     
CN0112300000000,01,123,"Tallapoosa County, AL",2016,,"18,575     ","17,537     ","1,038     ",5.6     
CN0112500000000,01,125,"Tuscaloosa County, AL",2016,,"99,232     ","93,619     ","5,613     ",5.7     
CN0112700000000,01,127,"Walker County, AL",2016,,"25,561     ","23,656     ","1,905     ",7.5     
CN0112900000000,01,129,"Washington County, AL",2016,,"6,740     ","6,158     ",582     ,8.6     
CN0113100000000,01,131,"Wilcox County, AL",2016,,"2,818     ","2,411     ",407     ,14.4     
CN0113300000000,01,133,"Winston County, AL",2016,,"9,530     ","8,853     ",677     ,7.1     
CN0201300000000,02,013,"Aleutians East Borough, AK",2016,,"2,591     ","2,521     ",70     ,2.7     
CN0201600000000,02,016,"Aleutians West Census Area, AK",2016,,"3,986     ","3,853     ",133     ,3.3     
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2016,,"155,798     ","147,142     ","8,656     ",5.6     
CN0205000000000,02,050,"Bethel Census Area, AK",2016,,"7,267     ","6,225     ","1,042     ",14.3     
CN0206000000000,02,060,"Bristol Bay Borough, AK",2016,,414     ,385     ,29     ,7.0     
CN0206800000000,02,068,"Denali Borough, AK",2016,,"1,096     ",996     ,100     ,9.1     
CN0207000000000,02,070,"Dillingham Census Area, AK",2016,,"2,082     ","1,880     ",202     ,9.7     
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2016,,"46,550     ","43,792     ","2,758     ",5.9     
CN0210000000000,02,100,"Haines Borough, AK",2016,,"1,077     ",966     ,111     ,10.3     
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2016,,"1,207     ","1,063     ",144     ,11.9     
CN0211000000000,02,110,"Juneau Borough/city, AK",2016,,"17,372     ","16,587     ",785     ,4.5     
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2016,,"27,227     ","24,889     ","2,338     ",8.6     
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2016,,"7,040     ","6,577     ",463     ,6.6     
CN0215000000000,02,150,"Kodiak Island Borough, AK",2016,,"6,430     ","6,096     ",334     ,5.2     
CN0215800000000,02,158,"Kusilvak Census Area, AK",2016,,"2,734     ","2,140     ",594     ,21.7     
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2016,,657     ,574     ,83     ,12.6     
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2016,,"47,520     ","43,580     ","3,940     ",8.3     
CN0218000000000,02,180,"Nome Census Area, AK",2016,,"4,095     ","3,571     ",524     ,12.8     
CN0218500000000,02,185,"North Slope Borough, AK",2016,,"3,962     ","3,691     ",271     ,6.8     
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2016,,"2,973     ","2,494     ",479     ,16.1     
CN0219500000000,02,195,"Petersburg Borough, AK",2016,,"1,453     ","1,321     ",132     ,9.1     
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2016,,"2,775     ","2,435     ",340     ,12.3     
CN0222000000000,02,220,"Sitka Borough/city, AK",2016,,"4,380     ","4,176     ",204     ,4.7     
CN0223000000000,02,230,"Skagway Municipality, AK",2016,,808     ,717     ,91     ,11.3     
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2016,,"3,004     ","2,679     ",325     ,10.8     
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2016,,"4,821     ","4,404     ",417     ,8.6     
CN0227500000000,02,275,"Wrangell Borough/city, AK",2016,,"1,056     ",976     ,80     ,7.6     
CN0228200000000,02,282,"Yakutat Borough/city, AK",2016,,245     ,224     ,21     ,8.6     
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2016,,"2,430     ","1,993     ",437     ,18.0     
CN0400100000000,04,001,"Apache County, AZ",2016,,"20,223     ","17,907     ","2,316     ",11.5     
CN0400300000000,04,003,"Cochise County, AZ",2016,,"49,369     ","46,297     ","3,072     ",6.2     
CN0400500000000,04,005,"Coconino County, AZ",2016,,"73,841     ","69,405     ","4,436     ",6.0     
CN0400700000000,04,007,"Gila County, AZ",2016,,"20,899     ","19,390     ","1,509     ",7.2     
CN0400900000000,04,009,"Graham County, AZ",2016,,"14,306     ","13,344     ",962     ,6.7     
