LAUS,State_FIPS,County_FIPS,County_Name_State,Year,,Labor_Force,Employed,Unemployed,Unemployment_Rate
CN3117500000000,31,175,"Valley County, NE",2015,,"2,063     ","2,005     ",58     ,2.8     
CN3117700000000,31,177,"Washington County, NE",2015,,"10,935     ","10,607     ",328     ,3.0     
CN3117900000000,31,179,"Wayne County, NE",2015,,"5,539     ","5,398     ",141     ,2.5     
CN3118100000000,31,181,"Webster County, NE",2015,,"1,725     ","1,664     ",61     ,3.5     
CN3118300000000,31,183,"Wheeler County, NE",2015,,562     ,549     ,13     ,2.3     
CN3118500000000,31,185,"York County, NE",2015,,"7,339     ","7,126     ",213     ,2.9     
CN3200100000000,32,001,"Churchill County, NV",2015,,"10,616     ","9,885     ",731     ,6.9     
CN3200300000000,32,003,"Clark County, NV",2015,,"1,038,703     ","967,633     ","71,070     ",6.8     
CN3200500000000,32,005,"Douglas County, NV",2015,,"22,496     ","20,982     ","1,514     ",6.7     
CN3200700000000,32,007,"Elko County, NV",2015,,"26,947     ","25,564     ","1,383     ",5.1     
CN3200900000000,32,009,"Esmeralda County, NV",2015,,530     ,507     ,23     ,4.3     
CN3201100000000,32,011,"Eureka County, NV",2015,,"1,003     ",944     ,59     ,5.9     
CN3201300000000,32,013,"Humboldt County, NV",2015,,"8,467     ","7,974     ",493     ,5.8     
CN3201500000000,32,015,"Lander County, NV",2015,,"3,282     ","3,064     ",218     ,6.6     
CN3201700000000,32,017,"Lincoln County, NV",2015,,"1,971     ","1,852     ",119     ,6.0     
CN3201900000000,32,019,"Lyon County, NV",2015,,"21,895     ","19,857     ","2,038     ",9.3     
CN3202100000000,32,021,"Mineral County, NV",2015,,"1,617     ","1,451     ",166     ,10.3     
CN3202300000000,32,023,"Nye County, NV",2015,,"16,184     ","14,777     ","1,407     ",8.7     
CN3202700000000,32,027,"Pershing County, NV",2015,,"2,511     ","2,341     ",170     ,6.8     
CN3202900000000,32,029,"Storey County, NV",2015,,"1,873     ","1,734     ",139     ,7.4     
CN3203100000000,32,031,"Washoe County, NV",2015,,"225,943     ","211,811     ","14,132     ",6.3     
CN3203300000000,32,033,"White Pine County, NV",2015,,"4,823     ","4,566     ",257     ,5.3     
CN3251000000000,32,510,"Carson City, NV",2015,,"24,877     ","23,080     ","1,797     ",7.2     
CN3300100000000,33,001,"Belknap County, NH",2015,,"31,461     ","30,413     ","1,048     ",3.3     
CN3300300000000,33,003,"Carroll County, NH",2015,,"23,694     ","22,872     ",822     ,3.5     
CN3300500000000,33,005,"Cheshire County, NH",2015,,"41,366     ","40,057     ","1,309     ",3.2     
CN3300700000000,33,007,"Coos County, NH",2015,,"14,755     ","14,111     ",644     ,4.4     
CN3300900000000,33,009,"Grafton County, NH",2015,,"48,443     ","47,113     ","1,330     ",2.7     
CN3301100000000,33,011,"Hillsborough County, NH",2015,,"228,760     ","220,595     ","8,165     ",3.6     
CN3301300000000,33,013,"Merrimack County, NH",2015,,"80,956     ","78,464     ","2,492     ",3.1     
CN3301500000000,33,015,"Rockingham County, NH",2015,,"177,990     ","171,595     ","6,395     ",3.6     
CN3301700000000,33,017,"Strafford County, NH",2015,,"70,939     ","68,727     ","2,212     ",3.1     
CN3301900000000,33,019,"Sullivan County, NH",2015,,"23,577     ","22,930     ",647     ,2.7     
CN3400100000000,34,001,"Atlantic County, NJ",2015,,"127,902     ","115,665     ","12,237     ",9.6     
CN3400300000000,34,003,"Bergen County, NJ",2015,,"483,915     ","461,124     ","22,791     ",4.7     
CN3400500000000,34,005,"Burlington County, NJ",2015,,"232,623     ","220,189     ","12,434     ",5.3     
CN3400700000000,34,007,"Camden County, NJ",2015,,"255,390     ","238,892     ","16,498     ",6.5     
CN3400900000000,34,009,"Cape May County, NJ",2015,,"48,534     ","43,143     ","5,391     ",11.1     
CN3401100000000,34,011,"Cumberland County, NJ",2015,,"68,117     ","62,100     ","6,017     ",8.8     
CN3401300000000,34,013,"Essex County, NJ",2015,,"375,066     ","349,110     ","25,956     ",6.9     
CN3401500000000,34,015,"Gloucester County, NJ",2015,,"149,930     ","140,845     ","9,085     ",6.1     
CN3401700000000,34,017,"Hudson County, NJ",2015,,"362,284     ","342,752     ","19,532     ",5.4     
CN3401900000000,34,019,"Hunterdon County, NJ",2015,,"65,534     ","62,747     ","2,787     ",4.3     
CN3402100000000,34,021,"Mercer County, NJ",2015,,"198,447     ","188,505     ","9,942     ",5.0     
CN3402300000000,34,023,"Middlesex County, NJ",2015,,"440,742     ","418,062     ","22,680     ",5.1     
CN3402500000000,34,025,"Monmouth County, NJ",2015,,"329,935     ","312,901     ","17,034     ",5.2     
CN3402700000000,34,027,"Morris County, NJ",2015,,"262,029     ","250,565     ","11,464     ",4.4     
CN3402900000000,34,029,"Ocean County, NJ",2015,,"268,497     ","251,911     ","16,586     ",6.2     
CN3403100000000,34,031,"Passaic County, NJ",2015,,"248,816     ","231,177     ","17,639     ",7.1     
CN3403300000000,34,033,"Salem County, NJ",2015,,"31,080     ","28,792     ","2,288     ",7.4     
CN3403500000000,34,035,"Somerset County, NJ",2015,,"174,324     ","166,357     ","7,967     ",4.6     
CN3403700000000,34,037,"Sussex County, NJ",2015,,"76,640     ","72,454     ","4,186     ",5.5     
CN3403900000000,34,039,"Union County, NJ",2015,,"280,235     ","263,283     ","16,952     ",6.0     
CN3404100000000,34,041,"Warren County, NJ",2015,,"57,192     ","54,121     ","3,071     ",5.4     
CN3500100000000,35,001,"Bernalillo County, NM",2015,,"320,916     ","302,038     ","18,878     ",5.9     
CN3500300000000,35,003,"Catron County, NM",2015,,"1,187     ","1,088     ",99     ,8.3     
CN3500500000000,35,005,"Chaves County, NM",2015,,"27,594     ","25,858     ","1,736     ",6.3     
CN3500600000000,35,006,"Cibola County, NM",2015,,"9,228     ","8,491     ",737     ,8.0     
CN3500700000000,35,007,"Colfax County, NM",2015,,"6,012     ","5,652     ",360     ,6.0     
CN3500900000000,35,009,"Curry County, NM",2015,,"21,806     ","20,743     ","1,063     ",4.9     
CN3501100000000,35,011,"De Baca County, NM",2015,,847     ,804     ,43     ,5.1     
CN3501300000000,35,013,"Dona Ana County, NM",2015,,"93,919     ","87,061     ","6,858     ",7.3     
CN3501500000000,35,015,"Eddy County, NM",2015,,"29,685     ","28,226     ","1,459     ",4.9     
CN3501700000000,35,017,"Grant County, NM",2015,,"12,417     ","11,614     ",803     ,6.5     
CN3501900000000,35,019,"Guadalupe County, NM",2015,,"1,627     ","1,512     ",115     ,7.1     
CN3502100000000,35,021,"Harding County, NM",2015,,284     ,260     ,24     ,8.5     
CN3502300000000,35,023,"Hidalgo County, NM",2015,,"2,127     ","1,995     ",132     ,6.2     
CN3502500000000,35,025,"Lea County, NM",2015,,"29,783     ","27,941     ","1,842     ",6.2     
CN3502700000000,35,027,"Lincoln County, NM",2015,,"8,655     ","8,157     ",498     ,5.8     
CN3502800000000,35,028,"Los Alamos County, NM",2015,,"8,466     ","8,125     ",341     ,4.0     
CN3502900000000,35,029,"Luna County, NM",2015,,"10,993     ","9,092     ","1,901     ",17.3     
CN3503100000000,35,031,"McKinley County, NM",2015,,"24,194     ","21,833     ","2,361     ",9.8     
CN3503300000000,35,033,"Mora County, NM",2015,,"2,260     ","2,041     ",219     ,9.7     
CN3503500000000,35,035,"Otero County, NM",2015,,"24,895     ","23,357     ","1,538     ",6.2     
CN3503700000000,35,037,"Quay County, NM",2015,,"3,257     ","3,026     ",231     ,7.1     
CN3503900000000,35,039,"Rio Arriba County, NM",2015,,"16,522     ","15,199     ","1,323     ",8.0     
CN3504100000000,35,041,"Roosevelt County, NM",2015,,"8,007     ","7,575     ",432     ,5.4     
CN3504300000000,35,043,"Sandoval County, NM",2015,,"61,805     ","57,709     ","4,096     ",6.6     
CN3504500000000,35,045,"San Juan County, NM",2015,,"55,383     ","51,574     ","3,809     ",6.9     
CN3504700000000,35,047,"San Miguel County, NM",2015,,"11,041     ","10,195     ",846     ,7.7     
CN3504900000000,35,049,"Santa Fe County, NM",2015,,"72,865     ","68,976     ","3,889     ",5.3     
CN3505100000000,35,051,"Sierra County, NM",2015,,"4,011     ","3,647     ",364     ,9.1     
CN3505300000000,35,053,"Socorro County, NM",2015,,"6,510     ","6,019     ",491     ,7.5     
CN3505500000000,35,055,"Taos County, NM",2015,,"14,850     ","13,492     ","1,358     ",9.1     
CN3505700000000,35,057,"Torrance County, NM",2015,,"5,441     ","4,950     ",491     ,9.0     
CN3505900000000,35,059,"Union County, NM",2015,,"1,884     ","1,802     ",82     ,4.4     
CN3506100000000,35,061,"Valencia County, NM",2015,,"29,529     ","27,335     ","2,194     ",7.4     
CN3600100000000,36,001,"Albany County, NY",2015,,"159,383     ","152,461     ","6,922     ",4.3     
CN3600300000000,36,003,"Allegany County, NY",2015,,"20,458     ","19,129     ","1,329     ",6.5     
CN3600500000000,36,005,"Bronx County, NY",2015,,"613,190     ","565,512     ","47,678     ",7.8     
CN3600700000000,36,007,"Broome County, NY",2015,,"87,272     ","82,072     ","5,200     ",6.0     
CN3600900000000,36,009,"Cattaraugus County, NY",2015,,"35,412     ","33,189     ","2,223     ",6.3     
CN3601100000000,36,011,"Cayuga County, NY",2015,,"37,279     ","35,291     ","1,988     ",5.3     
CN3601300000000,36,013,"Chautauqua County, NY",2015,,"57,925     ","54,438     ","3,487     ",6.0     
CN3601500000000,36,015,"Chemung County, NY",2015,,"37,681     ","35,473     ","2,208     ",5.9     
CN3601700000000,36,017,"Chenango County, NY",2015,,"23,216     ","21,952     ","1,264     ",5.4     
CN3601900000000,36,019,"Clinton County, NY",2015,,"36,125     ","34,024     ","2,101     ",5.8     
CN3602100000000,36,021,"Columbia County, NY",2015,,"31,588     ","30,331     ","1,257     ",4.0     
CN3602300000000,36,023,"Cortland County, NY",2015,,"23,403     ","22,028     ","1,375     ",5.9     
CN3602500000000,36,025,"Delaware County, NY",2015,,"19,609     ","18,435     ","1,174     ",6.0     
CN3602700000000,36,027,"Dutchess County, NY",2015,,"144,065     ","137,603     ","6,462     ",4.5     
CN3602900000000,36,029,"Erie County, NY",2015,,"451,194     ","427,193     ","24,001     ",5.3     
CN3603100000000,36,031,"Essex County, NY",2015,,"17,409     ","16,363     ","1,046     ",6.0     
CN3603300000000,36,033,"Franklin County, NY",2015,,"20,083     ","18,779     ","1,304     ",6.5     
CN3603500000000,36,035,"Fulton County, NY",2015,,"23,580     ","22,064     ","1,516     ",6.4     
CN3603700000000,36,037,"Genesee County, NY",2015,,"30,270     ","28,774     ","1,496     ",4.9     
CN3603900000000,36,039,"Greene County, NY",2015,,"20,836     ","19,665     ","1,171     ",5.6     
CN3604100000000,36,041,"Hamilton County, NY",2015,,"2,448     ","2,283     ",165     ,6.7     
CN3604300000000,36,043,"Herkimer County, NY",2015,,"28,580     ","26,800     ","1,780     ",6.2     
CN3604500000000,36,045,"Jefferson County, NY",2015,,"46,788     ","43,708     ","3,080     ",6.6     
CN3604700000000,36,047,"Kings County, NY",2015,,"1,229,405     ","1,156,891     ","72,514     ",5.9     
CN3604900000000,36,049,"Lewis County, NY",2015,,"11,834     ","11,016     ",818     ,6.9     
CN3605100000000,36,051,"Livingston County, NY",2015,,"31,425     ","29,776     ","1,649     ",5.2     
CN3605300000000,36,053,"Madison County, NY",2015,,"33,077     ","31,201     ","1,876     ",5.7     
CN3605500000000,36,055,"Monroe County, NY",2015,,"367,520     ","348,923     ","18,597     ",5.1     
CN3605700000000,36,057,"Montgomery County, NY",2015,,"22,397     ","20,929     ","1,468     ",6.6     
CN3605900000000,36,059,"Nassau County, NY",2015,,"701,610     ","672,024     ","29,586     ",4.2     
CN3606100000000,36,061,"New York County, NY",2015,,"920,921     ","876,135     ","44,786     ",4.9     
CN3606300000000,36,063,"Niagara County, NY",2015,,"101,710     ","95,451     ","6,259     ",6.2     
CN3606500000000,36,065,"Oneida County, NY",2015,,"102,702     ","97,231     ","5,471     ",5.3     
CN3606700000000,36,067,"Onondaga County, NY",2015,,"223,748     ","212,733     ","11,015     ",4.9     
CN3606900000000,36,069,"Ontario County, NY",2015,,"55,378     ","52,768     ","2,610     ",4.7     
CN3607100000000,36,071,"Orange County, NY",2015,,"178,984     ","170,653     ","8,331     ",4.7     
CN3607300000000,36,073,"Orleans County, NY",2015,,"17,977     ","16,834     ","1,143     ",6.4     
CN3607500000000,36,075,"Oswego County, NY",2015,,"54,331     ","50,435     ","3,896     ",7.2     
CN3607700000000,36,077,"Otsego County, NY",2015,,"28,868     ","27,313     ","1,555     ",5.4     
CN3607900000000,36,079,"Putnam County, NY",2015,,"50,903     ","48,735     ","2,168     ",4.3     
CN3608100000000,36,081,"Queens County, NY",2015,,"1,171,067     ","1,112,332     ","58,735     ",5.0     
CN3608300000000,36,083,"Rensselaer County, NY",2015,,"82,047     ","78,237     ","3,810     ",4.6     
CN3608500000000,36,085,"Richmond County, NY",2015,,"222,148     ","209,186     ","12,962     ",5.8     
CN3608700000000,36,087,"Rockland County, NY",2015,,"153,062     ","146,141     ","6,921     ",4.5     
CN3608900000000,36,089,"St. Lawrence County, NY",2015,,"44,139     ","40,922     ","3,217     ",7.3     
CN3609100000000,36,091,"Saratoga County, NY",2015,,"117,549     ","112,677     ","4,872     ",4.1     
CN3609300000000,36,093,"Schenectady County, NY",2015,,"76,183     ","72,596     ","3,587     ",4.7     
CN3609500000000,36,095,"Schoharie County, NY",2015,,"14,757     ","13,901     ",856     ,5.8     
CN3609700000000,36,097,"Schuyler County, NY",2015,,"8,399     ","7,845     ",554     ,6.6     
CN3609900000000,36,099,"Seneca County, NY",2015,,"15,812     ","15,000     ",812     ,5.1     
CN3610100000000,36,101,"Steuben County, NY",2015,,"43,956     ","41,194     ","2,762     ",6.3     
CN3610300000000,36,103,"Suffolk County, NY",2015,,"780,621     ","743,913     ","36,708     ",4.7     
CN3610500000000,36,105,"Sullivan County, NY",2015,,"33,904     ","32,077     ","1,827     ",5.4     
CN3610700000000,36,107,"Tioga County, NY",2015,,"23,517     ","22,216     ","1,301     ",5.5     
CN3610900000000,36,109,"Tompkins County, NY",2015,,"50,714     ","48,486     ","2,228     ",4.4     
CN3611100000000,36,111,"Ulster County, NY",2015,,"88,848     ","84,584     ","4,264     ",4.8     
CN3611300000000,36,113,"Warren County, NY",2015,,"32,441     ","30,647     ","1,794     ",5.5     
CN3611500000000,36,115,"Washington County, NY",2015,,"28,818     ","27,373     ","1,445     ",5.0     
CN3611700000000,36,117,"Wayne County, NY",2015,,"44,542     ","42,174     ","2,368     ",5.3     
CN3611900000000,36,119,"Westchester County, NY",2015,,"481,220     ","459,373     ","21,847     ",4.5     
CN3612100000000,36,121,"Wyoming County, NY",2015,,"18,483     ","17,443     ","1,040     ",5.6     
CN3612300000000,36,123,"Yates County, NY",2015,,"11,810     ","11,222     ",588     ,5.0     
CN3700100000000,37,001,"Alamance County, NC",2015,,"77,289     ","73,147     ","4,142     ",5.4     
CN3700300000000,37,003,"Alexander County, NC",2015,,"17,539     ","16,675     ",864     ,4.9     
CN3700500000000,37,005,"Alleghany County, NC",2015,,"4,466     ","4,192     ",274     ,6.1     
CN3700700000000,37,007,"Anson County, NC",2015,,"10,829     ","10,122     ",707     ,6.5     
CN3700900000000,37,009,"Ashe County, NC",2015,,"12,310     ","11,569     ",741     ,6.0     
CN3701100000000,37,011,"Avery County, NC",2015,,"7,531     ","7,084     ",447     ,5.9     
CN3701300000000,37,013,"Beaufort County, NC",2015,,"20,117     ","18,791     ","1,326     ",6.6     
CN3701500000000,37,015,"Bertie County, NC",2015,,"8,603     ","7,981     ",622     ,7.2     
CN3701700000000,37,017,"Bladen County, NC",2015,,"14,740     ","13,567     ","1,173     ",8.0     
CN3701900000000,37,019,"Brunswick County, NC",2015,,"48,537     ","44,994     ","3,543     ",7.3     
CN3702100000000,37,021,"Buncombe County, NC",2015,,"130,400     ","124,712     ","5,688     ",4.4     
CN3702300000000,37,023,"Burke County, NC",2015,,"39,325     ","37,114     ","2,211     ",5.6     
CN3702500000000,37,025,"Cabarrus County, NC",2015,,"97,608     ","92,552     ","5,056     ",5.2     
CN3702700000000,37,027,"Caldwell County, NC",2015,,"35,465     ","33,244     ","2,221     ",6.3     
CN3702900000000,37,029,"Camden County, NC",2015,,"4,612     ","4,348     ",264     ,5.7     
CN3703100000000,37,031,"Carteret County, NC",2015,,"31,335     ","29,480     ","1,855     ",5.9     
CN3703300000000,37,033,"Caswell County, NC",2015,,"9,624     ","9,017     ",607     ,6.3     
CN3703500000000,37,035,"Catawba County, NC",2015,,"75,149     ","71,007     ","4,142     ",5.5     
CN3703700000000,37,037,"Chatham County, NC",2015,,"33,383     ","31,799     ","1,584     ",4.7     
CN3703900000000,37,039,"Cherokee County, NC",2015,,"11,121     ","10,403     ",718     ,6.5     
